Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Status
35.2,B0200,33810.02585591996,317.9418381503583,8739.85754506278,8829.27316895864,ALIVE
35.4,A0100,-30732.537203615408,161.4640681889814,1727.4177448454375,1801.375329559198,ALIVE
35.4,A0200,-31811.42253857803,212.57873824209855,1886.953127447523,1966.1938895946892,ALIVE
35.4,B0100,33611.232821168276,17.423938125255518,235.20628933295302,323.6834714428783,ALIVE
35.4,B0200,33759.36497677944,310.99674640301964,8761.958865620973,8851.10610812662,ALIVE
35.6,A0100,-30651.33930114148,163.3481723993027,1681.424246089673,1754.9921310048492,ALIVE
35.6,A0200,-31743.039921602234,210.85077547124274,1847.4738420251906,1926.374739984101,ALIVE
35.6,B0100,33565.40713342368,18.078713650424106,175.48786823099545,263.7247852579415,ALIVE
35.6,B0200,33708.804786653636,303.84331660839234,8784.017873855908,8872.897667425757,ALIVE
35.800000000000004,A0100,-30570.10949567933,165.20303628326837,1635.3528556250549,1708.5319156046928,ALIVE
35.800000000000004,A0200,-31674.81777900011,209.35285874018518,1807.7810222749213,1886.3435907728524,ALIVE
35.800000000000004,B0100,33519.8340313767,18.747898629926567,115.55772871010595,203.55603428792955,ALIVE
35.800000000000004,B0200,33658.34466623158,296.47583734340697,8806.029884749103,8894.643156674043,ALIVE
36.0,A0100,-30488.87005517052,167.17051223105045,1589.184341166234,1661.9755625247985,ALIVE
36.0,A0200,-31606.768582242606,208.07542464061407,1767.8607552238518,1846.0865852656336,ALIVE
36.0,B0100,33474.51020472715,19.431814466615833,55.4113985351396,143.17272362302245,ALIVE
36.0,B0200,33607.98394483408,288.8885287101639,8827.989956487214,8916.337628689796,ALIVE
36.2,A0100,-30407.682143217644,169.30341792428044,1542.8022783104661,1615.20694182145,ALIVE
36.2,A0200,-31538.90400869455,207.00753266697757,1727.7000294771951,1805.5907638803453,ALIVE
36.2,B0100,33429.43753330504,20.13065249676947,-4.947986022480109,82.57799405193329,ALIVE
36.2,B0200,33557.72189605195,281.07555279426197,8849.892877852248,8937.97586667662,ALIVE
36.4,A0100,-30326.58404950959,171.4873342550709,1496.113134965106,1568.132699434063,ALIVE
36.4,A0200,-31471.23489402356,206.13702167732117,1687.2867389396051,1764.8440676828118,ALIVE
36.4,B0100,33384.6177500041,20.844591808130644,-65.51719629114814,21.77507797524333,ALIVE
36.4,B0200,33507.5577331927,273.03102553729696,8871.733155749509,8959.55237172416,ALIVE
36.6,A0100,-30245.53377677056,173.5880549253361,1449.1492173274783,1520.7849352235646,ALIVE
36.6,A0200,-31403.77120176638,205.4506418038127,1646.6096695409378,1723.8353250132323,ALIVE
36.6,B0200,33457.49060454365,264.7490300732097,8893.505002879434,8981.06135045988,ALIVE
36.800000000000004,A0100,-30164.48565236084,175.61793805781053,1401.9861642174,1473.2390698214203,ALIVE
36.800000000000004,A0200,-31336.522005350143,204.93415815854314,1605.6584782690134,1682.554230476609,ALIVE
36.800000000000004,B0200,33407.5195884916,256.2236316526105,8915.202325764078,9002.496703061934,ALIVE
37.0,A0100,-30083.496919664834,177.61053033740427,1354.5736335078418,1425.4450321264833,ALIVE
37.0,A0200,-31269.49547732201,204.5724261930045,1564.42367420753,1640.991325980422,ALIVE
37.0,B0200,33357.64368851975,247.44889417984996,8936.818713280345,9023.85201176253,ALIVE
37.2,A0100,-30002.583700972154,179.53391854386427,1306.9109387633616,1377.402208261344,ALIVE
37.2,A0200,-31202.698880475175,204.3494421289488,1522.8966103319617,1599.1379925376834,ALIVE
37.2,B0200,33307.8618280932,238.4188984524135,8958.347425835957,9045.120530014445,ALIVE
37.4,A0100,-29921.716011698423,181.35103189714755,1259.061526656369,1329.1738996889592,ALIVE
37.4,A0200,-31136.138556224978,204.24837492797815,1481.069493144254,1556.9864598888964,ALIVE
37.4,B0200,33258.172845477224,229.12776212608333,8979.78138542552,9066.29517251705,ALIVE
37.6,A0100,-29840.84489341168,183.08171962309098,1211.1153891341,1280.8498673048796,ALIVE
37.6,A0200,-31069.81990666138,204.25158860980628,1438.9354146113837,1514.5298383950949,ALIVE
37.6,B0200,33208.575488542,219.56966142564852,9001.113166747193,9087.368506314255,ALIVE
37.800000000000004,A0100,-29759.93856098738,184.8678743254968,1163.155406412885,1232.5128464410275,ALIVE
37.800000000000004,A0200,-31003.747368326753,204.340664919524,1396.4884079171607,1471.7621747337073,ALIVE
37.800000000000004,B0200,33159.06840959194,209.7388546220027,9022.334989616385,9108.332743192534,ALIVE
38.0,A0100,-29679.03033769075,186.86312349319996,1115.1397521270192,1184.1211719682217,ALIVE
38.0,A0200,-30937.9243774163,204.4964364250245,1353.7235255829146,1428.6785298677714,ALIVE
38.0,B0200,33109.650160265985,199.62970721542843,9043.438712966208,9129.179733650459,ALIVE
38.2,A0100,-29598.20972629892,189.0901876631815,1066.9264648178523,1135.533299815625,ALIVE
38.2,A0200,-30872.353327714067,204.69903895573952,1310.6369355722964,1385.275075025949,ALIVE
38.2,B0200,33060.3191866544,189.2367188075168,9064.41583055108,9149.900962598678,ALIVE
38.400000000000006,A0100,-29517.53444511328,191.42691239635496,1018.409432840177,1086.6433795628698,ALIVE
38.400000000000006,A0200,-30807.03551494755,204.92798262926044,1267.226036489481,1341.5492066687107,ALIVE
38.400000000000006,B0200,33011.07388046173,178.55447031669792,9085.257524126107,9170.48760278939,ALIVE
38.6,A0100,-29436.976006692035,193.7255846116841,969.6336235799063,1037.4962368952215,ALIVE
38.6,A0200,-30741.971083841534,205.16226457010998,1223.4895711660356,1297.4996598875732,ALIVE
38.6,B0200,32961.912489434966,167.577856537353,9105.954585583811,9190.930436514429,ALIVE
38.800000000000004,A0100,-29356.480354013656,195.9828148016095,920.6685413922096,988.1611223072738,ALIVE
