Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
168.4,A1002,A0100,AIM-120C-7,ACTIVE,23801.136361762387,23250.384724799926,8365.484203715749,371.1044405635291,B0100,23.003637419388536,Trajectory
168.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23707.731714669935,23673.578254162374,8348.908053866158,364.0275167016617,B0100,22.739464903824576,Trajectory
168.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23829.894641934727,23318.553446356065,8370.748233431503,370.58886931983074,B0100,22.99756241450893,Trajectory
168.8,A1001,A0100,AIM-120C-7,ACTIVE,23736.15346841889,23740.353496315733,8354.119189046125,363.52145593738203,B0100,22.734834112746633,Trajectory
168.8,A1002,A0100,AIM-120C-7,ACTIVE,23858.630776423914,23386.62295707123,8375.966789364258,370.07477235855276,B0100,22.991687173511533,Trajectory
169.0,A1001,A0100,AIM-120C-7,ACTIVE,23764.559209129362,23807.029016792494,8359.284122017756,363.0169837856708,B0100,22.73040375116217,Trajectory
169.0,A1002,A0100,AIM-120C-7,ACTIVE,23887.34650263128,23454.592857232576,8381.139524406086,369.56230960549976,B0100,22.98601063440281,Trajectory
169.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23792.95066281098,23873.60440529458,8364.402985357163,362.5143179149237,B0100,22.726171937838203,Trajectory
169.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23916.04362482488,23522.462724331668,8386.266559956684,369.05169964275615,B0100,22.98053095082848,Trajectory
169.4,A1001,A0100,AIM-120C-7,ACTIVE,23821.32942119651,23940.079322491696,8369.476363509313,362.01369694108155,B0100,22.722131144603402,Trajectory
169.4,A1002,A0100,AIM-120C-7,ACTIVE,23944.723813310233,23590.23220722398,8391.34846623426,368.54318778667306,B0100,22.97524047768253,Trajectory
169.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23849.697528323093,24006.45320557739,8374.505568365894,361.51496337182203,B0100,22.718254692149866,Trajectory
169.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23973.38918910958,23657.900740968296,8396.386536626103,368.0366603467454,B0100,22.970110505811558,Trajectory
169.8,A1001,A0100,AIM-120C-7,ACTIVE,23878.057744099457,24072.725095874983,8379.491757750879,361.01746868386203,B0100,22.714530069854543,Trajectory
169.8,A1002,A0100,AIM-120C-7,ACTIVE,24002.042585139432,23725.467372699448,8401.38191239899,367.5314295751004,B0100,22.965128706813054,Trajectory
170.0,A1001,A0100,AIM-120C-7,ACTIVE,23906.411973951643,24138.89442111088,8384.434718289785,360.52128741498575,B0100,22.71098176059771,Trajectory
170.0,A1002,A0100,AIM-120C-7,ACTIVE,24030.685979560465,23792.93151558339,8406.334372208215,367.0274942638761,B0100,22.9603223392837,Trajectory
170.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23934.761354862007,24204.961003701104,8389.333792104264,360.0264849534702,B0100,22.70762070899143,Trajectory
170.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,24059.320583565623,23860.292963916727,8411.243252452046,366.52491895990465,B0100,22.955702223821785,Trajectory
170.4,A1001,A0100,AIM-120C-7,ACTIVE,23963.107373819195,24270.924486030915,8394.188736511163,359.5331413089706,B0100,22.70444487068707,Trajectory
170.4,A1002,A0100,AIM-120C-7,ACTIVE,24087.947957151948,23927.551338031884,8416.108302100341,366.0238008956051,B0100,22.95126563909312,Trajectory
170.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23991.451555757496,24336.78449041666,8398.999787280503,359.04146585519305,B0100,22.70145274172714,Trajectory
170.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,24116.569698438165,23994.706241539436,8420.92974555121,365.52435433222206,B0100,22.947011170726327,Trajectory
170.8,A1001,A0100,AIM-120C-7,ACTIVE,24019.795269856815,24402.540720060453,8403.767630434932,358.5516760562985,B0100,22.69863667554051,Trajectory
170.8,A1002,A0100,AIM-120C-7,ACTIVE,24145.1872504035,24061.75735980583,8425.70825466506,365.02680487071024,B0100,22.94293111518273,Trajectory
171.0,A1001,A0100,AIM-120C-7,ACTIVE,24048.140307565456,24468.192651618985,8408.493700754736,358.0635068654492,B0100,22.695964453840638,Trajectory
171.0,A1002,A0100,AIM-120C-7,ACTIVE,24173.80247633903,24128.704159685734,8430.44524579309,364.5309128293417,B0100,22.938991278521588,Trajectory
171.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,24076.48917787196,24533.73934983722,8413.179298946126,357.5763937095657,B0100,22.693424100721874,Trajectory
171.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,24202.417952612435,24195.54570250837,8435.142002879908,364.0360856188963,B0100,22.93517980711269,Trajectory
171.4,A1001,A0100,AIM-120C-7,ACTIVE,24104.843598694544,24599.18027290587,8417.82431253077,357.09057720066454,B0100,22.691047699520183,Trajectory
171.4,A1002,A0100,AIM-120C-7,ACTIVE,24231.035465634122,24262.28142778582,8439.798405556721,363.54252194220004,B0100,22.931531471389732,Trajectory
171.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,24133.204558688554,24664.515279376876,8422.42816255227,356.6061159074495,B0100,22.688845614211093,Trajectory
171.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,24259.65607502077,24328.911165548958,8444.41386955463,363.05028145829186,B0100,22.928056495279307,Trajectory
171.8,A1001,A0100,AIM-120C-7,ACTIVE,24161.573372953964,24729.744047884218,8426.990709857744,356.1230534557459,B0100,22.686814321912745,Trajectory
171.8,A1002,A0100,AIM-120C-7,ACTIVE,24288.28116546044,24395.43457092789,8448.988247702504,362.55941932945575,B0100,22.924750754015772,Trajectory
172.0,A1001,A0100,AIM-120C-7,ACTIVE,24189.951408899997,24794.866221878434,8431.512357780373,355.64154137806776,B0100,22.684946281261293,Trajectory
172.0,A1002,A0100,AIM-120C-7,ACTIVE,24316.912173869183,24461.851267105663,8453.521932057909,362.07009684991544,B0100,22.921606389400075,Trajectory
172.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,24218.340464519657,24859.881201214328,8435.99415255829,355.1613070653862,B0100,22.683215144432893,Trajectory
172.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,24345.550965557366,24528.160640429727,8458.015954004895,361.58204952843226,B0100,22.918595821245855,Trajectory
