Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID
110.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
110.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
110.60000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
110.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
110.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
110.80000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
111.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
111.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.2,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
111.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
111.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.60000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
111.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
111.80000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
112.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
112.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.2,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
112.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
112.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.60000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
112.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
112.80000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
113.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
113.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.2,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
113.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
113.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.60000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
113.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
113.80000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
114.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
114.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.2,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
114.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
114.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.60000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
114.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
114.80000000000001,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
115.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
115.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
