Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
123.0,A0200,F-16,-27633.010399432886,-503.6046537664024,5990.594124910975,181.2757745934694,13.397464616181379,164.0188274202147,TR_DOR
123.0,B0100,F-16,1168.333102818072,10358.24612004152,2897.303807954871,152.8270833862444,-6.872324324631385,361.8766597389543,TR_DOR
123.0,B0200,F-16,-104.00748337619689,-745.5083810462595,4079.2593223116355,174.13102049194177,-0.629038410596267,338.33068941788116,TR_DOR
123.2,A0100,F-16,-28386.41073625031,1257.7753019820739,5909.466296994288,178.1583021231529,6.458312787173883,237.79821762404444,TR_DOR
123.2,A0200,F-16,-27665.767103605678,-504.27791808738584,5991.626874509674,181.18057986651596,10.55992069043303,163.83107115353374,TR_DOR
123.2,B0100,F-16,1104.0767916900925,10390.517332429412,2888.4306862372387,152.50107288233494,-6.525761294999855,362.61611479247335,TR_DOR
123.2,B0200,F-16,-171.35636394227708,-738.9942261722351,4079.261932700896,174.03303246606356,-0.43572252994697597,338.26659890059824,TR_DOR
123.4,A0100,F-16,-28433.88346839609,1259.0053882276989,5910.554004881968,178.41552297408873,6.294602588360176,237.3000555091081,TR_DOR
123.4,A0200,F-16,-27698.513074584862,-504.9365209650241,5992.827493579539,181.20260849971828,7.168458315491463,163.97830281959253,TR_DOR
123.4,B0100,F-16,1039.8612179017618,10423.125708062262,2879.3397437159615,152.53858523519114,-6.1524152332941835,363.29502056660664,TR_DOR
123.4,B0200,F-16,-238.6936868698756,-732.4713593126548,4079.3403768774006,174.07440251833359,-0.6667893291942152,338.32155476227575,TR_DOR
123.60000000000001,A0100,F-16,-28481.316230185646,1260.2600065859842,5911.845210301128,178.85129081844062,3.061464511096279,237.40326704056758,TR_DOR
123.60000000000001,A0200,F-16,-27731.31476076188,-505.5952726857795,5993.876137281416,181.2810475505716,3.727745813752958,164.27667942147409,TR_DOR
123.60000000000001,B0100,F-16,975.6169725803798,10455.96821421789,2870.243394586009,152.83444587801125,-5.905276249419465,363.93583483630727,TR_DOR
123.60000000000001,B0200,F-16,-306.03837428674115,-725.9351377482901,4079.354527227252,173.98293094572793,-0.4542826946601007,338.2541834551707,TR_DOR
123.80000000000001,A0100,F-16,-28528.79019515316,1261.4991915905284,5912.853956091486,178.93475627162405,-0.3828081422516201,237.6028501956608,TR_DOR
123.80000000000001,A0200,F-16,-27764.183451463876,-506.2704000800077,5994.6143520141595,181.01588531437156,0.33398636352958017,164.5390028984609,TR_DOR
123.80000000000001,B0100,F-16,911.2398354264808,10488.845242377147,2861.1914198048366,153.3080344937719,-5.840334500177997,364.5767257315087,TR_DOR
123.80000000000001,B0200,F-16,-373.36954933407424,-719.3803712969262,4079.4379555832056,174.0318520881643,-0.6769766183992411,338.30424660473415,TR_DOR
124.0,A0100,F-16,-28576.277045204937,1262.7210098690193,5913.307653626139,178.42667921729958,-2.753497421143214,237.3113862560612,TR_DOR
124.0,A0200,F-16,-27797.087606670884,-506.95720835095017,5995.020243895672,180.51865475906897,-2.9303104344301523,164.55177252170597,TR_DOR
124.0,B0100,F-16,846.6637649311068,10521.606257461608,2852.0766039505356,153.90058167597294,-6.043444772972889,365.2570459747713,TR_DOR
124.0,B0200,F-16,-440.7067656499512,-712.8057699693572,4079.45496121736,173.94025749621022,-0.46181157344683493,338.23452016323824,TR_DOR
124.2,A0100,F-16,-28623.6875181825,1263.9487523025891,5913.346630510185,178.49280766549367,-1.7332999135594995,237.0654167405117,TR_DOR
124.2,A0200,F-16,-27829.981068213376,-507.624598236549,5995.039685166649,180.538075694575,-5.885610783089507,164.4768490187825,TR_DOR
124.2,B0100,F-16,781.8777715543779,10554.211847530722,2842.7568513881124,154.44221120210895,-6.617056583032425,366.0008380056645,TR_DOR
124.2,B0200,F-16,-508.0293586162659,-706.2051743313154,4079.540325585913,173.9937343382428,-0.6820896829583049,338.2832542813632,TR_DOR
124.4,A0100,F-16,-28671.092438181047,1265.159136346072,5913.113910427658,178.47901489894798,2.3039133192338968,237.03969316871286,TR_DOR
124.4,A0200,F-16,-27862.860963086478,-508.28913481154996,5994.391104391105,180.93748228601953,-8.048678228246626,164.46560767458405,TR_DOR
124.4,B0100,F-16,716.8916133741509,10586.679323673507,2833.1344705246597,154.645544364768,-7.497394627426204,366.806668371937,TR_DOR
124.4,B0200,F-16,-575.3573269333033,-699.5798081537018,4079.5586687211235,173.89992307908335,-0.4671842846126719,338.2131021417368,TR_DOR
124.60000000000001,A0100,F-16,-28718.458824224974,1266.3518756754129,5913.323184927921,178.64231244406034,5.38300566196986,236.86687784126764,TR_DOR
124.60000000000001,A0200,F-16,-27895.72162888164,-508.9741188385924,5992.913366153529,181.09213892876394,-7.085451594501551,164.62330432777117,TR_DOR
